id,data_evento,hora_evento,host,srcip,srcuser,rule_id,rule_level,severidade_wazuh,rule_description,full_log,severidade_manual,severidade_wazuh_llm
1779329860.0,2026-05-17,00,wazuh.manager,,,,,nenhum,,2026-05-17T00:51:39.519139-03:00 srv01 sshd[54911]: Disconnected from authenticating user root 87.106.44.172 port 40124 [preauth],nenhum,nenhum
1779329860.0,2026-05-17,02,wazuh.manager,,root,,,nenhum,,2026-05-17T02:15:01.815013+00:00 srv02 CRON[2026332]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0),nenhum,nenhum
1779329860.0,2026-05-17,03,wazuh.manager,,root,,,nenhum,,2026-05-17T03:35:01.893496-03:00 srv01 CRON[403563]: pam_unix(cron:session): session closed for user root,nenhum,nenhum
1779329860.0,2026-05-17,04,wazuh.manager,152.42.143.147,user1,5710,5,medio,sshd: Attempt to login using a non-existent user,2026-05-17T04:11:00.313761-03:00 srv01 sshd[480114]: Invalid user user1 from 152.42.143.147 port 40680,baixo,medio
1779329860.0,2026-05-17,01,wazuh.manager,,root,,,nenhum,,2026-05-17T01:55:01.784441-03:00 srv01 CRON[190887]: pam_unix(cron:session): session closed for user root,nenhum,nenhum
1779329860.0,2026-05-17,02,wazuh.manager,203.0.113.11,usr21,,,nenhum,,2026-05-17T02:58:59.467996+00:00 srv02 sshd[2200649]: Disconnected from user usr21 203.0.113.11 port 56014,nenhum,nenhum
1779329860.0,2026-05-17,01,wazuh.manager,49.51.70.17,root,5710,5,medio,sshd: Attempt to login using a non-existent user,2026-05-17T01:21:42.714193+00:00 srv02 sshd[1849376]: Failed password for invalid user root from 49.51.70.17 port 35998 ssh2,baixo,medio
1779329860.0,2026-05-17,04,wazuh.manager,,,,,nenhum,,2026-05-17T04:16:00.191452+00:00 srv02 sshd[2422826]: Connection closed by authenticating user usr21 203.0.113.11 port 39982 [preauth],nenhum,nenhum
1779329860.0,2026-05-17,05,wazuh.manager,,,,,nenhum,,2026-05-17T05:22:32.789635+00:00 srv02 sshd[2650129]: Connection closed by authenticating user usr21 203.0.113.11 port 57824 [preauth],nenhum,nenhum
1779329860.0,2026-05-17,06,wazuh.manager,,,,,nenhum,,2026-05-17T06:26:22.924473+00:00 srv02 su[2816428]: (to nobody) root on none,nenhum,nenhum
